"Key","Source","Translation","",""
"13331AE642578B10EFB7A0B3B54ABA7C"," + "," + ","",""
"2322542742DB48F3818BAEB6C15E1B9D"," + "," + ","",""
"3EDC992849C35D6A0BA7FB8308E1EF88"," + "," + ","",""
"CDC49298420C1B5173A66BB74D6ECD6A"," + "," + ","",""
"D567D2DA4DD0542343EE05B4A0D532B5"," + "," + ","",""
"1F9BD16549A7511CAAACBEB5A1A2DF54"," +  "," +  ","",""
"CF2EF2324CB635E02CA3C28DD353EEE6"," to Jason"," для Джейсона","",""
"058598C04ECA98558BAF6FBCC164A3C8","##","##","",""
"E2464124418664CC7B45DCA9D45ED420_Format0","$: {1}","$: {1}","",""
"6E56D3D049C6ED6ABED736BDA30D13F6","${0}.{1}","${0}.{1}","",""
"A5F23CC94E22C3AE2752B2AC8E953475","${0}.{1}","${0}.{1}","",""
"D360361447431C3A9A8904BEC3D27871","${0}.{1}","${0}.{1}","",""
"0DD2C5184B5ED4EC9B072D81F5CE61BB","(HOLD)","(УТРИМУЙТЕ)","",""
"5D466416435EBA1B2DE67B82C0D725B2","(HOLD)","(УТРИМУЙТЕ)","",""
"07F71FAD4E2EFF9C6455819BE2253A0E","-","-","",""
"0CD7A86944521A3AFCF60E90178773E8","-","-","",""
"5EBF777947719B8F9CA9CABDE87F3D0F","-","-","",""
"74DF7BA842481D309228F092B3BABFEC","-<cf>-","-<cf>-","",""
"62832AE94E3C0DE5A963EB98656D1706",".................................................................................................",".................................................................................................","",""
"00778A314DE3D05AF26E3EB95FDF0030","/","/","",""
"6A56979E4069CD398205B8BE60E57331","/","/","",""
"7A2282A14B44C6D522B8CCADD68917BC","//EMPAQUETA BASURA. //UTILIZA EL COHETE DE RECUPERACIÓN PARA LA TRANSFERENCIA.","//EMPAQUETA BASURA. //UTILIZA EL COHETE DE RECUPERACIÓN PARA LA TRANSFERENCIA.","",""
"B6977B2243F569637F2DC1A34CBEFDB5","//EMPAQUETA BASURA. //UTILIZA EL COHETE DE RECUPERACIÓN PARA LA TRANSFERENCIA.","//EMPAQUETA BASURA. //UTILIZA EL COHETE DE RECUPERACIÓN PARA LA TRANSFERENCIA.","",""
"3AA37366457ACBF64C87AEAE07B6A8AE","//EMPAQUETEZ LES DÉBRIS. //UTILISEZ LA FUSÉE DE RÉCUPÉRATION POUR LE TRANSPORT.","//EMPAQUETEZ LES DÉBRIS. //UTILISEZ LA FUSÉE DE RÉCUPÉRATION POUR LE TRANSPORT.","",""
"919038284448846ACE7545BD9B44659F","//PACKAGE DEBRIS. //UTILIZE RECOVERY ROCKET TO TRANSFER.","//PACKAGE DEBRIS. //UTILIZE RECOVERY ROCKET TO TRANSFER.","",""
"D9D70A9041199474FCB505B77CD78AE4","//PACOTE DE DETRITOS. //UTILIZE O MÓDULO DE RECUPERAÇÃO PARA TRANSFERI-LOS.","//PACOTE DE DETRITOS. //UTILIZE O MÓDULO DE RECUPERAÇÃO PARA TRANSFERI-LOS.","",""
"16CDE1DB493318506AEC429135806066","//PAKET ENKAZ. //TRANSFER İÇİN KURTARMA ROKETİ KULLAN.","//PAKET ENKAZ. //TRANSFER İÇİN KURTARMA ROKETİ KULLAN.","",""
"178837E14DFB93BDB75ECD82ABA4604D","//PAKIET GRUZU. //PRZETRANSPORTUJ PRZY UŻYCIU RAKIETY ODZYSKOWEJ.","//PAKIET GRUZU. //PRZETRANSPORTUJ PRZY UŻYCIU RAKIETY ODZYSKOWEJ.","",""
"1C9E0C554AB25C752D7518995096ED43","//PUIN VERPAKKEN. //RAKET VOOR BEMACHTIGDE OBJECTEN GEBRUIKEN VOOR OVERDRACHT.","//PUIN VERPAKKEN. //RAKET VOOR BEMACHTIGDE OBJECTEN GEBRUIKEN VOOR OVERDRACHT.","",""
"7D1410E7443D5CFD6BBBB8BDD50FC643","//SCHUTT VERPACKEN. /ZUM VERSENDEN SAMMELRAKETE BENUTZEN.","//SCHUTT VERPACKEN. /ZUM VERSENDEN SAMMELRAKETE BENUTZEN.","",""
"010C4B894CF361A1826F68844692D747","//SPAZZATURA IMPACCHETTATA. //UTILIZZA IL RAZZO DI RECUPERO PER IL TRASFERIMENTO.","//SPAZZATURA IMPACCHETTATA. //UTILIZZA IL RAZZO DI RECUPERO PER IL TRASFERIMENTO.","",""
